U,I_1,I_2,I_3,I_4,I_5,I_6,I_7
65.94705973879994,0.35959304124088054,1.9232419747776999,1.735262321565623,1.8377966778631196,1.701084202799791,1.7523513809485394,2.850323446300896
66.06660809631572,0.3766821006237966,1.974509152926448,1.7865294997143715,1.8890638560118678,1.7523513809485394,1.8036185590972875,2.914407418986831
66.1861564538315,0.45358286784691887,1.8377966778631196,1.683995143416875,1.7865294997143715,1.6498170246510429,1.683995143416875,2.7221555009290257
66.30570481134728,0.45358286784691887,1.8890638560118678,1.735262321565623,1.8377966778631196,1.701084202799791,1.735262321565623,2.7862394736149607
66.42525316886307,0.3766821006237966,1.7523513809485394,1.632727965268127,1.718173262182707,1.5814607871193789,1.598549846502295,2.5939875555571548
66.54480152637888,0.36813757093233856,1.8036185590972875,1.683995143416875,1.7694404403314554,1.6498170246510429,1.683995143416875,2.6580715282430902
66.66434988389466,0.4621273975383769,1.683995143416875,1.5814607871193789,1.6498170246510429,1.5301936089706305,1.5472826683535466,2.4658196101852847
66.78389824141044,0.36813757093233856,1.718173262182707,1.632727965268127,1.718173262182707,1.5814607871193789,1.5814607871193789,2.508542258642575
66.90344659892622,0.4706719272298349,1.5814607871193789,1.5301936089706305,1.598549846502295,1.4447483120560503,1.4447483120560503,2.3077458108933113
67.02299495644203,0.4621273975383769,1.615638905885211,1.598549846502295,1.6498170246510429,1.5131045495877145,1.4960154902047984,2.4017356374993497
67.14254331395782,0.36813757093233856,1.4789264308218824,1.5131045495877145,1.5301936089706305,1.35930301514147,1.342213955758554,2.179577865521441
67.2620916714736,0.36813757093233856,1.5301936089706305,1.5814607871193789,1.5814607871193789,1.4276592526731342,1.4276592526731342,2.256478632744563
67.38164002898938,0.45358286784691887,1.3934811339073019,1.4960154902047984,1.4447483120560503,1.2738577182268898,1.2909467776098058,2.0514099201495704
67.50118838650519,0.3510485115494225,1.4618373714389663,1.4960154902047984,1.4960154902047984,1.35930301514147,1.342213955758554,2.128310687372693
67.62073674402097,0.45358286784691887,1.325124896375638,1.5814607871193789,1.325124896375638,1.2225905400781414,1.2225905400781414,1.9232419747776999
67.74028510153676,0.3510485115494225,1.376392074524386,1.4960154902047984,1.4276592526731342,1.2909467776098058,1.2909467776098058,2.000142742000822
67.85983345905254,0.45358286784691887,1.2567686588439737,1.5814607871193789,1.2909467776098058,1.1884124213123093,1.1884124213123093,1.8207076184802036
67.97938181656832,0.35959304124088054,1.325124896375638,1.4960154902047984,1.325124896375638,1.2396795994610574,1.2567686588439737,1.897608385703326
68.09893017408413,0.43649380846400276,1.1884124213123093,1.598549846502295,1.2225905400781414,1.0516999462489809,1.120056183780645,1.718173262182707
68.21847853159991,0.3510485115494225,1.2567686588439737,1.5301936089706305,1.2738577182268898,1.1542343025464774,1.2055014806952253,1.7950740294058294
68.3380268891157,0.43649380846400276,1.1542343025464774,1.632727965268127,1.1884124213123093,1.0004327681002327,1.102967124397729,1.641272494959585
68.45757524663148,0.4194047490810867,1.2225905400781414,1.5643717277364626,1.2396795994610574,1.0516999462489809,1.1542343025464774,1.7438068512570812
68.57712360414729,0.3339594521665064,1.1371452431635611,1.683995143416875,1.1371452431635611,0.9149874711856524,1.0516999462489809,1.615638905885211
68.69667196166307,0.4108602193896287,1.120056183780645,1.598549846502295,1.1884124213123093,0.9833437087173167,1.1371452431635611,1.718173262182707
68.81622031917885,0.3339594521665064,1.2055014806952253,1.701084202799791,1.0516999462489809,0.8295421742710721,1.0346108868660648,1.5900053168108368
68.93576867669464,0.3168703927835904,1.120056183780645,1.6498170246510429,1.120056183780645,0.8978984118027364,1.120056183780645,1.692539673108333
69.05531703421045,0.40231568969817066,1.1884124213123093,1.7523513809485394,1.0004327681002327,0.7611859367394079,1.0004327681002327,1.5900053168108368
69.17486539172623,0.39377116000671264,1.120056183780645,1.701084202799791,1.068789005631897,0.8124531148881561,1.0346108868660648,1.615638905885211
69.29441374924201,0.32541492247504844,1.2396795994610574,1.8207076184802036,0.9833437087173167,0.6928296992077436,1.102967124397729,1.7438068512570812
69.4139621067578,0.3168703927835904,1.1542343025464774,1.7694404403314554,1.0516999462489809,0.7611859367394079,1.0346108868660648,1.641272494959585
69.53351046427358,0.3766821006237966,1.2567686588439737,1.8890638560118678,0.9491655899514845,0.6586515804419115,1.102967124397729,1.7950740294058294
69.65305882178939,0.28269227401775826,1.1884124213123093,1.8207076184802036,1.0516999462489809,0.7099187585906597,1.0346108868660648,1.692539673108333
69.77260717930517,0.39377116000671264,1.2909467776098058,1.940331034160616,0.9320765305685684,0.6244734616760794,1.1371452431635611,1.8463412075545778
69.89215553682095,0.2912368037092163,1.2396795994610574,1.8890638560118678,1.0516999462489809,0.6073844022931634,1.085878065014813,1.7694404403314554
70.01170389433673,0.35959304124088054,1.35930301514147,1.991598212309364,0.9491655899514845,0.7099187585906597,1.2055014806952253,1.9488755638520738
70.13125225185254,0.2656032146348422,1.3080358369927219,1.940331034160616,0.9833437087173167,0.6073844022931634,1.1371452431635611,1.8719747966289517
70.25080060936833,0.36813757093233856,1.410570193290218,2.0599544498410283,1.0516999462489809,0.6928296992077436,1.2738577182268898,2.0514099201495704
70.37034896688411,0.2656032146348422,1.35930301514147,2.0086872716922803,1.0004327681002327,0.7099187585906597,1.2055014806952253,1.974509152926448
70.48989732439989,0.3510485115494225,1.5131045495877145,2.1453997467556087,1.085878065014813,0.6073844022931634,1.35930301514147,2.179577865521441
70.60944568191567,0.3339594521665064,1.4447483120560503,2.0770435092239445,1.0175218274831488,0.6415625210589955,1.2909467776098058,2.1026770982983187
70.72899403943148,0.2656032146348422,1.5814607871193789,2.1966669249043567,1.120056183780645,0.7270078179735758,1.410570193290218,2.282112221818937
70.84854239694727,0.32541492247504844,1.5301936089706305,2.1453997467556087,1.068789005631897,0.6586515804419115,1.35930301514147,2.2052114545958146
70.96809075446305,0.25705868494338413,1.6498170246510429,2.265023162436021,1.1884124213123093,0.7611859367394079,1.4960154902047984,2.4444582859566397
71.08763911197883,0.24851415525192616,1.615638905885211,2.213755984287273,1.1371452431635611,0.7099187585906597,1.4447483120560503,2.3590129890420592
71.20718746949464,0.3339594521665064,1.735262321565623,2.3162903405847692,1.2738577182268898,0.8295421742710721,1.5814607871193789,2.57262623132851
71.32673582701042,0.23142509586901008,1.701084202799791,2.265023162436021,1.2055014806952253,0.7611859367394079,1.5301936089706305,2.48718093441393
71.4462841845262,0.3339594521665064,1.8207076184802036,2.3590129890420592,1.342213955758554,0.8637202930369042,1.666906084033959,2.7007941767003802
71.56583254204199,0.23142509586901008,1.7865294997143715,2.3376516648134142,1.2909467776098058,0.8124531148881561,1.5814607871193789,2.6153488797858
71.6853808995578,0.3339594521665064,1.9232419747776999,2.4444582859566397,1.410570193290218,0.9491655899514845,1.735262321565623,2.828962122072251
71.80492925707358,0.25705868494338413,1.8719747966289517,2.3803743132707047,1.35930301514147,0.8808093524198204,1.701084202799791,2.7435168251576707
71.92447761458936,0.3168703927835904,2.0086872716922803,2.48718093441393,1.4960154902047984,0.9833437087173167,1.8207076184802036,2.9571300674441217
72.04402597210515,0.2399696255604681,1.957420093543532,2.4444582859566397,1.4447483120560503,0.9320765305685684,1.7694404403314554,2.871684770529541
72.16357432962093,0.3425039818579645,2.0941325686068604,2.551264907099865,1.5643717277364626,1.068789005631897,1.9232419747776999,3.106659337044637
72.28312268713674,0.2656032146348422,2.042865390458112,2.48718093441393,1.5131045495877145,1.0004327681002327,1.8548857372460357,3.0212140401300567
72.40267104465252,0.3425039818579645,2.179577865521441,2.57262623132851,1.666906084033959,1.1542343025464774,1.974509152926448,3.234827282416507
72.5222194021683,0.25705868494338413,2.128310687372693,2.6153488797858,1.598549846502295,1.102967124397729,1.9232419747776999,3.1493819855019267
72.64176775968409,0.36813757093233856,2.247934103053105,2.52990358287122,1.718173262182707,1.2396795994610574,2.0599544498410283,3.3629952277883777
72.7613161171999,0.28269227401775826,2.1966669249043567,2.57262623132851,1.666906084033959,1.2055014806952253,2.0086872716922803,3.2775499308737976
72.88086447471568,0.3766821006237966,2.3590129890420592,2.6794328524717352,1.8036185590972875,1.35930301514147,2.128310687372693,3.5125244973888936
73.00041283223146,0.2997813334006743,2.282112221818937,2.6153488797858,1.735262321565623,1.2909467776098058,2.0941325686068604,3.405717876245668
73.11996118974724,0.3852266303152546,2.4017356374993497,2.7221555009290257,1.8719747966289517,1.4447483120560503,2.213755984287273,3.619331118532119
73.23950954726303,0.30832586309213234,2.3590129890420592,2.6580715282430902,1.8207076184802036,1.3934811339073019,2.1453997467556087,3.5338858216175386
73.35905790477884,0.42794927877254474,2.4658196101852847,2.7435168251576707,1.940331034160616,1.5472826683535466,2.282112221818937,3.726137739675344
73.47860626229462,0.3425039818579645,2.4017356374993497,2.7007941767003802,1.906152915394784,1.4618373714389663,2.213755984287273,3.640692442760764
73.5981546198104,0.42794927877254474,2.52990358287122,2.7862394736149607,2.025776331075196,1.632727965268127,2.3376516648134142,3.811583036589924
73.71770297732618,0.36813757093233856,2.48718093441393,2.7221555009290257,1.974509152926448,1.5643717277364626,2.282112221818937,3.747499063903989
73.837251334842,0.4450383381554608,2.5939875555571548,2.7862394736149607,2.0941325686068604,1.701084202799791,2.3803743132707047,3.9183896577331496
73.95679969235778,0.40231568969817066,2.52990358287122,2.7435168251576707,2.025776331075196,1.6498170246510429,2.3376516648134142,3.8543056850472146
74.07634804987356,0.4706719272298349,2.6580715282430902,2.828962122072251,2.1453997467556087,1.7865294997143715,2.4444582859566397,4.00383495464773
74.19589640738934,0.4194047490810867,2.5939875555571548,2.7648781493863157,2.0941325686068604,1.735262321565623,2.3803743132707047,3.9397509819617946
74.31544476490515,0.4877609866127509,2.7007941767003802,2.850323446300896,2.1966669249043567,1.8548857372460357,2.48718093441393,4.067918927333666
74.43499312242093,0.43649380846400276,2.6367102040144452,2.850323446300896,2.1453997467556087,1.8036185590972875,2.4230969617279947,4.00383495464773
74.55454147993672,0.513394575687125,2.7435168251576707,2.7862394736149607,2.247934103053105,1.9232419747776999,2.52990358287122,4.153364224248246
74.6740898374525,0.45358286784691887,2.6794328524717352,2.7862394736149607,2.1966669249043567,1.8890638560118678,2.4658196101852847,4.067918927333666
74.79363819496828,0.5219391053785831,2.7648781493863157,2.871684770529541,2.3162903405847692,1.991598212309364,2.52990358287122,4.238809521162826
74.91318655248409,0.47921645692129294,2.7007941767003802,2.871684770529541,2.247934103053105,1.940331034160616,2.48718093441393,4.153364224248246
75.03273490999987,0.5390281647614992,2.8076007978436057,2.7862394736149607,2.3590129890420592,2.0599544498410283,2.5939875555571548,4.281532169620116
75.15228326751566,0.4877609866127509,2.7435168251576707,2.871684770529541,2.282112221818937,2.0086872716922803,2.52990358287122,4.174725548476891
75.27183162503144,0.5561172241444152,2.8076007978436057,2.7862394736149607,2.3803743132707047,2.128310687372693,2.6153488797858,4.324254818077406
75.39137998254725,0.5048500459956671,2.7648781493863157,2.7862394736149607,2.3376516648134142,2.042865390458112,2.52990358287122,4.238809521162826
75.51092834006303,0.5732062835273313,2.850323446300896,2.871684770529541,2.4017356374993497,2.1624888061385246,2.6153488797858,4.324254818077406
75.63047669757881,0.5902953429102473,2.871684770529541,2.850323446300896,2.3590129890420592,2.0941325686068604,2.551264907099865,4.260170845391471
75.7500250550946,0.5048500459956671,2.7648781493863157,2.7435168251576707,2.4444582859566397,2.1966669249043567,2.6153488797858,4.3669774665346965
75.86957341261038,0.5304836350700411,2.850323446300896,2.828962122072251,2.3803743132707047,2.1453997467556087,2.6367102040144452,4.260170845391471
75.98912177012619,0.5902953429102473,2.7862394736149607,2.7648781493863157,2.4444582859566397,2.2308450436701888,2.52990358287122,4.388338790763341
76.10867012764197,0.5390281647614992,2.7862394736149607,2.828962122072251,2.4017356374993497,2.1624888061385246,2.551264907099865,4.281532169620116
76.22821848515775,0.6073844022931634,2.850323446300896,2.7435168251576707,2.4658196101852847,2.265023162436021,2.6367102040144452,4.3669774665346965
