t,theta
1.418027778E1,-8.665675905E-1
1.421520000E1,-2.781702528E-1
1.425012222E1,4.029563263E-1
1.428505556E1,1.007391705E0
1.431997778E1,1.538556553E0
1.435491111E1,1.851896999E0
1.438983333E1,2.377581353E0
1.442475556E1,2.737103249E0
1.445968889E1,2.938240006E0
1.449461111E1,3.065882847E0
1.452954444E1,3.258618019E0
1.456446667E1,3.275851952E0
1.459938889E1,3.280543209E0
1.463432222E1,3.098193135E0
1.466924444E1,2.940215153E0
1.470417778E1,2.689905460E0
1.473910000E1,2.356733456E0
1.477403333E1,1.793624057E0
1.480895556E1,1.359299724E0
1.484387778E1,7.875907943E-1
1.487881111E1,2.549190634E-1
1.491373333E1,-4.230035274E-1
1.494866667E1,-9.938134215E-1
1.498358889E1,-1.653094462E0
1.501851111E1,-2.235809281E0
1.505344444E1,-2.756058374E0
1.508836667E1,-3.350374252E0
1.512330000E1,-3.951172312E0
1.515822222E1,-4.922293932E0
1.519314444E1,-5.281682527E0
1.522807778E1,-5.610434340E0
1.526300000E1,-5.923224846E0
1.529793333E1,-6.007304096E0
1.533285556E1,-6.065914065E0
1.536777778E1,-6.118679039E0
1.540271111E1,-6.090820880E0
1.543763333E1,-5.905983748E0
1.547256667E1,-5.648552762E0
1.550748889E1,-5.349753984E0
1.554242222E1,-4.981197664E0
1.557734444E1,-4.629781030E0
1.561226667E1,-4.163087965E0
1.564720000E1,-3.671484769E0
1.568212222E1,-3.077191417E0
1.571705556E1,-2.494089441E0
1.575197778E1,-2.005120505E0
1.578690000E1,-1.468194107E0
1.582183333E1,-8.334596986E-1
1.585675556E1,-1.833867626E-1
1.589168889E1,2.968210167E-1
1.592661111E1,7.886331535E-1
1.596153333E1,1.197104166E0
1.599646667E1,1.707238781E0
1.603138889E1,2.078006654E0
1.606632222E1,2.387712098E0
1.610124444E1,2.635306618E0
1.613616667E1,2.732103064E0
1.617110000E1,2.738523751E0
1.620602222E1,2.741079906E0
1.624095556E1,2.734083850E0
1.627587778E1,2.646707380E0
1.631081111E1,2.124545791E0
1.634573333E1,1.815493940E0
1.638065556E1,1.387891798E0
1.641558889E1,8.753761137E-1
1.645051111E1,4.574650333E-1
1.648544444E1,-1.184680167E-1
1.652036667E1,-6.810148489E-1
1.655528889E1,-1.205382939E0
1.659022222E1,-1.766530167E0
1.662514444E1,-2.410005134E0
1.666007778E1,-2.968764993E0
1.669500000E1,-3.440492742E0
1.672992222E1,-3.920758554E0
1.676485556E1,-4.367144564E0
1.679977778E1,-4.726040712E0
1.683471111E1,-5.009596196E0
1.686963333E1,-5.312427612E0
1.690455556E1,-5.587347889E0
1.693948889E1,-5.630801600E0
1.697441111E1,-5.683326149E0
1.700934444E1,-5.670474467E0
1.704426667E1,-5.638380416E0
1.707920000E1,-5.538743522E0
1.711412222E1,-5.304061564E0
1.714904444E1,-4.990185825E0
1.718397778E1,-4.684262075E0
1.721890000E1,-4.327499862E0
1.725383333E1,-3.963388824E0
1.728875556E1,-3.439079416E0
1.732367778E1,-3.012927357E0
1.735861111E1,-2.426530899E0
1.739353333E1,-1.928016477E0
1.742846667E1,-1.428773823E0
1.746338889E1,-2.453696512E-1
1.749831111E1,2.376659562E-1
1.753324444E1,7.098693048E-1
1.756816667E1,1.088981988E0
1.760310000E1,1.396102814E0
1.763802222E1,1.713624138E0
1.767294444E1,2.099599123E0
1.770787778E1,2.317606711E0
1.774280000E1,2.427246600E0
1.777773333E1,2.425867484E0
1.781265556E1,2.420043586E0
1.784758889E1,2.406194281E0
