"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.299637779E0,1.111781001E0,2.819726169E-1,5.786417961E0,5.898999777E0
2.318954387E0,4.331629574E-1,-3.196985647E-2,-4.323387742E-1,6.128368748E-1
2.338307158E0,-6.534734368E-1,-7.985485345E-2,-8.907665253E0,8.931959728E0
2.357624150E0,-1.241811991E0,2.072914690E-1,-1.198428726E1,1.205023684E1
2.376941014E0,-7.639279962E-2,2.279197872E-1,-3.972757101E0,3.980022899E0
2.396258006E0,8.490567803E-1,-2.687282860E-1,8.422624588E0,8.469575979E0
2.415600342E0,1.061439872E0,-1.474478841E-1,1.139500809E1,1.144528745E1
2.434926360E0,1.025968075E0,2.457067221E-1,5.444274426E0,5.545548332E0
2.454243480E0,3.826373518E-1,-4.931938648E-2,-6.503765583E-1,7.561966758E-1
2.473585944E0,-6.729846001E-1,-2.922893129E-2,-8.934848785E0,8.960205657E0
2.492921820E0,-7.024923563E-1,-5.523997545E-2,-8.934594154E0,8.962338962E0
2.512235200E0,-1.369467616E0,2.209009826E-1,-1.131072521E1,1.139547031E1
2.531583756E0,9.060190320E-1,-2.489424497E-1,8.247799873E0,8.301147245E0
2.550905904E0,9.591014385E-1,-8.191192150E-2,1.064798737E1,1.069140870E1
2.570214740E0,7.371925712E-1,1.941257566E-1,5.224496365E0,5.279820069E0
2.589557332E0,1.379695684E-1,-8.229163289E-2,-8.348407149E-1,8.501567702E-1
2.608882909E0,-7.147363424E-1,3.621728346E-2,-8.920798302E0,8.949458200E0
2.628219855E0,-9.633142352E-1,2.306417525E-1,-1.070501041E1,1.075074034E1
2.647537103E0,7.817713171E-2,1.198887601E-1,-2.701156616E0,2.704945849E0
2.666885079E0,8.396825194E-1,-2.513178289E-1,8.097818375E0,8.145114475E0
2.686201175E0,8.960700035E-1,-4.531961307E-2,1.003316498E1,1.007320181E1
