Wavelength,Nothing,Pure_water,Empty_cuvette,150,187.5,300,375,750,1500,1875,3000,3750,7500,15000,
833,NAN,-0.025,0.453,-0.027,0.029,-0.057,-0.002,0.020,-0.030,0.003,-0.022,-0.019,0.053,-0.004,
834,NAN,-0.008,0.443,-0.012,0.089,-0.017,0.022,0.060,-0.026,0.033,-0.005,0.008,0.082,0.064,
835,NAN,-0.010,0.461,-0.016,0.046,0.006,0.018,0.068,-0.006,0.008,-0.022,0.040,0.078,0.077,
836,-2.166,0.003,0.435,-0.008,0.052,-0.031,0.034,0.053,-0.013,0.029,-0.002,0.018,0.083,0.028,
837,-1.985,0.009,0.476,-0.013,0.060,-0.048,0.034,0.047,-0.033,0.001,-0.009,0.025,0.041,0.039,
838,NAN,-0.003,0.355,-0.039,0.006,-0.039,0.009,0.009,-0.035,-0.009,-0.035,-0.022,-0.006,0.040,
839,NAN,-0.063,0.363,0.005,0.020,-0.030,0.034,0.074,-0.042,0.004,-0.014,-0.025,0.028,0.031,
840,NAN,-0.037,0.430,-0.011,0.066,-0.014,0.019,0.063,-0.026,0.004,0.025,0.015,0.033,0.040,
841,NAN,0.012,0.477,0.010,0.087,-0.008,0.037,0.050,0.039,-0.005,0.001,0.043,0.049,0.017,
842,-2.165,-0.014,0.443,-0.009,0.037,-0.032,0.017,0.030,0.011,-0.006,-0.014,-0.006,0.033,0.014,
843,-2.145,0.009,0.426,-0.027,0.036,-0.035,0.046,0.086,-0.006,0.034,0.003,0.011,0.079,0.043,
844,NAN,0.030,0.477,-0.009,0.039,-0.032,0.046,0.098,-0.012,0.013,0.002,0.010,0.055,0.051,
845,NAN,0.037,0.478,-0.008,0.030,-0.020,0.070,0.092,-0.010,0.024,-0.006,0.012,0.040,0.049,
846,-1.845,0.011,0.488,-0.005,0.070,-0.011,0.056,0.072,-0.017,0.037,0.017,0.016,0.065,0.062,
847,-1.678,0.000,0.390,0.013,0.089,0.012,0.039,0.079,-0.022,0.040,0.027,0.038,0.099,0.076,
848,NAN,-0.033,0.355,0.004,0.055,-0.004,0.077,0.066,-0.037,0.023,0.030,0.003,0.091,0.069,
849,NAN,-0.010,0.415,0.007,0.052,-0.018,0.068,0.052,-0.011,-0.016,0.028,0.021,0.058,0.067,
