Wavelength,Nothing,Pure_water,Empty_cuvette,150,187.5,300,375,750,1500,1875,3000,3750,7500,15000,
530,-3.327,0.010,0.621,0.272,0.368,0.549,0.701,1.136,1.594,1.798,1.977,NAN,1.820,2.335,
531,NAN,0.003,0.650,0.280,0.367,0.556,0.706,1.160,1.696,1.692,1.729,2.268,1.878,2.103,
532,NAN,-0.001,0.692,0.291,0.371,0.576,0.714,1.207,1.690,1.982,2.046,NAN,2.095,2.157,
533,NAN,0.005,0.688,0.280,0.367,0.551,0.683,1.221,1.598,1.754,2.074,2.123,1.940,1.858,
534,NAN,0.005,0.676,0.263,0.355,0.534,0.674,1.217,1.513,1.706,1.846,2.050,1.914,1.719,
535,NAN,0.000,0.673,0.262,0.350,0.539,0.685,1.151,1.554,1.620,1.676,1.773,2.019,1.744,
536,NAN,0.000,0.706,0.259,0.342,0.550,0.664,1.121,1.730,1.617,1.878,1.819,1.963,1.630,
537,-3.098,0.004,0.701,0.256,0.336,0.542,0.647,1.117,1.763,1.862,2.025,1.978,2.072,1.657,
538,NAN,0.001,0.733,0.258,0.340,0.526,0.651,1.104,1.655,1.845,1.813,2.211,2.255,1.813,
539,NAN,-0.001,0.735,0.265,0.338,0.510,0.661,1.141,1.710,1.688,1.915,2.023,2.763,1.857,
540,NAN,-0.006,0.734,0.255,0.314,0.503,0.658,1.124,1.656,1.619,1.772,1.794,2.533,1.918,
541,NAN,0.000,0.755,0.237,0.314,0.503,0.646,1.084,1.616,1.730,2.004,2.339,NAN,2.409,
542,NAN,0.002,0.742,0.225,0.321,0.496,0.614,1.080,1.805,1.750,NAN,2.623,2.137,1.945,
543,NAN,-0.002,0.756,0.227,0.305,0.468,0.594,1.061,1.796,1.768,2.607,2.607,2.213,2.154,
544,NAN,0.003,0.759,0.224,0.286,0.452,0.584,0.986,1.636,1.581,1.800,2.129,1.910,2.021,
545,NAN,0.002,0.756,0.211,0.280,0.439,0.564,0.986,1.599,1.574,1.697,2.076,1.947,2.161,
546,NAN,0.001,0.778,0.197,0.265,0.418,0.546,0.988,1.621,1.660,1.905,2.091,2.488,NAN,
547,NAN,-0.001,0.762,0.189,0.251,0.408,0.519,0.958,1.640,1.656,2.167,2.237,2.265,NAN,
548,NAN,-0.005,0.755,0.175,0.234,0.376,0.480,0.883,1.531,1.473,1.765,1.836,2.033,2.028,
549,NAN,-0.005,0.763,0.169,0.222,0.347,0.462,0.833,1.468,1.429,1.764,1.882,2.090,2.375,
550,NAN,-0.008,0.751,0.164,0.215,0.339,0.447,0.785,1.366,1.415,1.782,1.967,2.253,2.339,
551,NAN,-0.008,0.759,0.152,0.201,0.322,0.422,0.746,1.311,1.387,1.772,1.980,2.190,2.583,
552,NAN,0.001,0.758,0.142,0.190,0.307,0.384,0.691,1.230,1.267,1.574,1.971,2.010,2.017,
553,NAN,0.001,0.778,0.134,0.178,0.287,0.362,0.655,1.226,1.231,1.837,2.071,2.363,2.073,
554,NAN,0.004,0.809,0.122,0.162,0.267,0.332,0.613,1.173,1.109,1.910,1.747,2.377,2.018,
555,NAN,-0.001,0.795,0.110,0.151,0.241,0.303,0.553,1.062,1.007,1.570,1.601,1.890,1.790,
556,NAN,-0.002,0.789,0.106,0.141,0.226,0.287,0.522,0.982,0.974,1.447,1.816,1.862,1.992,
557,NAN,-0.001,0.798,0.095,0.129,0.206,0.263,0.478,0.914,0.900,1.349,1.712,2.006,2.349,
558,NAN,-0.001,0.789,0.080,0.125,0.183,0.243,0.434,0.849,0.848,1.255,1.463,2.014,2.266,
559,NAN,-0.001,0.794,0.071,0.114,0.173,0.222,0.410,0.803,0.793,1.215,1.399,2.016,2.167,
560,NAN,0.000,0.798,0.069,0.099,0.155,0.199,0.375,0.739,0.717,1.156,1.390,2.117,2.269,
561,NAN,-0.003,0.794,0.058,0.087,0.140,0.181,0.344,0.675,0.669,1.052,1.309,1.935,2.326,
562,NAN,0.001,0.763,0.056,0.080,0.124,0.167,0.312,0.627,0.602,0.926,1.167,1.620,2.001,
563,NAN,0.002,0.760,0.049,0.075,0.109,0.150,0.281,0.575,0.552,0.867,1.087,1.681,2.156,
564,NAN,-0.001,0.760,0.043,0.074,0.100,0.139,0.260,0.516,0.510,0.832,0.963,1.697,2.180,
565,NAN,-0.002,0.741,0.039,0.067,0.088,0.126,0.233,0.466,0.463,0.752,0.881,1.529,2.163,
566,NAN,-0.005,0.744,0.034,0.060,0.077,0.113,0.215,0.424,0.427,0.681,0.826,1.407,1.895,
567,-3.568,-0.003,0.745,0.030,0.052,0.073,0.103,0.198,0.388,0.388,0.615,0.753,1.338,1.677,
568,-3.621,-0.002,0.753,0.027,0.051,0.071,0.098,0.182,0.357,0.347,0.576,0.698,1.302,1.797,
569,-3.239,0.000,0.763,0.022,0.042,0.063,0.085,0.164,0.327,0.326,0.545,0.652,1.272,1.835,
570,NAN,0.000,0.772,0.022,0.038,0.056,0.079,0.147,0.301,0.300,0.496,0.602,1.166,1.727,
571,NAN,0.001,0.759,0.022,0.035,0.052,0.072,0.137,0.270,0.271,0.453,0.539,1.059,1.625,
572,NAN,0.000,0.741,0.017,0.032,0.046,0.061,0.124,0.246,0.248,0.413,0.490,0.982,1.606,
573,NAN,-0.002,0.729,0.014,0.030,0.044,0.052,0.103,0.225,0.223,0.375,0.447,0.901,1.529,
574,NAN,-0.005,0.735,0.014,0.026,0.045,0.049,0.093,0.204,0.204,0.343,0.411,0.823,1.475,
575,NAN,-0.005,0.733,0.012,0.021,0.039,0.048,0.093,0.188,0.191,0.322,0.387,0.776,1.445,
576,NAN,-0.005,0.748,0.013,0.023,0.035,0.037,0.083,0.175,0.181,0.295,0.370,0.734,1.386,
577,NAN,0.002,0.740,0.010,0.021,0.032,0.030,0.072,0.158,0.165,0.271,0.331,0.677,1.261,
578,NAN,0.003,0.740,0.008,0.016,0.027,0.029,0.065,0.141,0.148,0.253,0.303,0.626,1.198,
579,NAN,0.003,0.744,0.007,0.015,0.021,0.031,0.057,0.128,0.136,0.239,0.281,0.574,1.163,
580,NAN,-0.002,0.739,0.009,0.019,0.024,0.031,0.056,0.118,0.125,0.218,0.259,0.523,1.029,
581,NAN,0.000,0.730,0.005,0.012,0.023,0.020,0.052,0.105,0.112,0.197,0.245,0.474,0.963,
582,NAN,0.003,0.716,0.002,0.011,0.017,0.016,0.042,0.097,0.097,0.185,0.222,0.451,0.913,
583,NAN,0.006,0.714,0.003,0.011,0.017,0.008,0.038,0.091,0.093,0.167,0.206,0.414,0.843,
584,NAN,0.003,0.734,0.005,0.011,0.016,0.008,0.036,0.083,0.089,0.155,0.187,0.383,0.815,
585,NAN,0.001,0.731,0.008,0.015,0.020,0.018,0.039,0.082,0.091,0.156,0.180,0.371,0.772,
586,-3.195,0.005,0.733,0.002,0.011,0.020,0.014,0.036,0.077,0.081,0.146,0.171,0.347,0.731,
587,-5.806,0.002,0.715,-0.007,0.005,0.014,0.008,0.027,0.065,0.072,0.129,0.157,0.313,0.669,
588,NAN,0.001,0.717,-0.008,0.005,0.009,0.008,0.024,0.057,0.064,0.123,0.149,0.293,0.618,
589,NAN,-0.001,0.721,-0.008,0.009,0.007,0.001,0.020,0.047,0.055,0.110,0.140,0.274,0.579,
590,NAN,-0.008,0.718,-0.004,0.006,0.011,0.001,0.016,0.046,0.058,0.101,0.128,0.257,0.549,
591,NAN,-0.002,0.708,-0.004,0.008,0.014,0.006,0.023,0.042,0.053,0.103,0.126,0.244,0.517,
592,NAN,0.003,0.717,0.000,0.010,0.015,0.005,0.024,0.038,0.050,0.098,0.117,0.233,0.485,
593,NAN,-0.004,0.731,0.005,0.009,0.015,0.007,0.021,0.044,0.055,0.092,0.112,0.226,0.455,
