Wavelength,150,187.5,300,375,750,1500,1875,3000,3750,7500,15000,Empty_cuvette,Nothing,Pure_water
441.489,129.283,106.677,123.632,145.838,151.205,106.395,127.701,118.998,123.011,102.89,117.246,152.674,135.555,136.29
441.843,128.097,106.847,124.311,137.363,151.883,110.973,119.394,122.05,121.655,109.843,124.706,155.893,135.047,138.154
442.197,127.249,108.543,142.448,132.787,146.46,120.468,117.868,124.763,122.841,115.947,125.554,151.657,140.301,134.764
442.551,131.826,111.595,146.008,130.753,143.239,128.266,116.342,119.846,126.571,122.05,120.129,144.708,141.657,134.425
442.905,136.572,126.684,143.804,132.956,142.053,128.775,122.954,122.22,115.721,127.645,126.401,140.64,125.045,135.612
443.258,135.386,131.939,143.635,120.92,136.12,124.028,133.804,132.9,120.129,129.001,117.925,149.962,117.416,137.137
443.612,133.521,133.295,136.855,117.02,131.205,122.333,142.109,127.645,124.198,123.576,109.447,147.081,116.568,135.612
443.966,130.809,133.804,136.855,128.379,141.036,112.669,142.448,130.696,117.925,113.403,111.482,158.944,117.416,137.476
444.319,120.807,132.787,133.634,126.006,143.578,117.246,140.923,139.51,122.333,106.112,117.755,163.349,115.042,138.154
444.673,117.586,128.718,134.482,112.273,143.239,120.468,137.024,132.052,129.283,112.556,111.821,167.585,127.758,144.256
445.026,118.264,120.072,136.346,118.377,144.426,123.519,132.617,105.773,123.011,111.369,108.769,166.908,134.03,132.222
445.38,119.959,122.276,136.007,130.753,141.205,130.809,138.041,110.351,119.111,105.095,116.907,168.263,133.013,139.51
445.733,126.232,122.276,134.821,119.903,134.086,126.401,142.109,106.621,122.841,118.659,110.125,158.266,133.691,145.104
446.087,134.03,123.124,135.838,127.193,130.866,131.318,150.414,107.638,114.703,118.32,104.699,152.165,141.149,151.374
446.44,132.504,122.446,133.465,132.109,139.68,129.961,143.126,100.855,110.973,116.116,116.907,153.013,134.199,153.069
446.794,141.488,126.854,137.702,134.482,150.527,126.741,132.956,108.316,110.125,114.421,133.013,161.486,124.198,164.084
447.147,146.403,128.21,145.838,133.465,149.002,128.605,120.75,106.79,114.534,124.593,123.35,160.299,117.925,156.797
447.5,142.674,135.16,134.99,133.295,149.849,129.961,111.595,108.825,115.551,121.711,129.792,163.688,122.672,160.356
447.854,137.25,125.667,131.939,132.617,151.205,121.824,99.555,103.399,115.042,132.222,131.996,167.247,124.367,159.17
448.207,134.03,126.345,137.363,141.431,139.51,125.384,98.707,117.303,110.634,135.103,128.097,156.402,121.994,147.476
448.56,131.318,134.651,143.804,143.296,130.187,125.384,99.894,121.542,118.094,138.493,129.453,153.521,125.215,147.307
448.913,131.487,139.397,140.753,137.702,130.866,124.028,103.116,119.168,111.821,130.357,136.911,147.25,129.961,159.678
449.266,119.79,128.718,139.058,139.736,129.509,126.91,116.173,122.898,117.246,126.458,143.522,147.25,122.841,158.322
449.62,118.094,135.838,148.38,145.838,126.967,131.487,120.072,118.659,124.198,118.151,144.2,146.742,122.502,160.356
449.973,132.165,130.753,137.872,134.482,141.036,129.961,130.922,122.05,132.165,110.86,138.267,154.368,127.249,163.575
450.326,137.25,130.244,121.768,138.211,146.29,128.097,137.194,126.797,126.741,111.369,128.266,153.182,126.571,172.555
450.679,126.741,126.684,121.259,153.803,151.205,125.045,136.685,125.78,128.097,113.912,124.876,156.063,131.318,163.236
451.032,135.216,129.905,141.431,154.481,153.916,127.758,126.854,124.593,117.925,117.642,115.381,157.419,137.42,158.153
451.385,140.64,121.937,133.295,146.855,154.933,126.741,130.922,132.9,111.99,115.947,118.772,157.249,131.826,154.425
451.738,130.47,127.701,140.923,146.855,152.73,126.232,131.6,120.694,110.464,116.964,117.755,156.063,131.826,143.748
452.091,121.485,120.242,144.652,138.719,147.476,131.657,123.802,116.116,108.43,117.303,120.468,156.741,131.826,129.17
452.443,134.877,121.089,148.719,130.922,147.476,122.502,121.429,116.964,104.021,123.745,125.215,167.077,134.538,118.659
452.796,133.521,125.836,141.94,129.227,145.612,126.232,118.546,108.486,106.564,115.608,128.775,167.924,129.114,124.932
453.149,134.03,128.379,141.77,131.261,145.782,131.826,111.425,104.416,104.021,116.794,122.163,173.516,127.758,108.995
453.502,130.64,126.854,140.753,141.092,141.036,123.859,101.081,105.095,95.372,114.59,119.451,168.941,129.792,121.372
