WaveLength	Dark	Reference	Samples	Energy	IrrCali	StrayLight
347.380	102.634	99.153	101.986	-0.00562050054889516		
347.742	103.622	100.230	102.664	-0.00828307205747218		
348.104	107.063	100.559	95.541	-0.0867780503118009		
348.465	107.003	102.804	94.524	-0.0868931605456809		
348.826	107.063	104.569	92.828	-0.102240520521001		
349.188	108.080	104.300	93.845	-0.102464360749314		
349.549	103.562	103.672	95.711	-0.05979534646376		
349.911	102.784	104.360	106.564	0.0281969131849617		
350.272	99.731	105.437	104.529	0.0360736644012972		
350.633	97.816	106.754	116.060	0.162684501414538		
350.995	97.217	107.801	119.790	0.218971327847801		
351.356	98.594	108.759	114.703	0.165544373370767		
351.717	98.624	110.315	107.243	0.0908273727280063		
352.078	104.160	106.125	113.855	0.0885603037062952		
352.440	104.998	109.178	104.869	-0.0012153614648272		
352.801	104.011	106.275	106.564	0.0242296845164052		
353.162	104.908	102.983	112.499	0.0701480881006386		
353.523	106.465	97.567	104.360	-0.0162320079119602		
353.884	104.519	100.380	100.290	-0.0318282486995288		
354.245	107.302	96.190	105.208	-0.0145027844868157		
354.606	112.060	99.781	93.845	-0.122566636707186		
354.967	111.821	100.649	91.301	-0.137237265704017		
355.328	108.170	101.337	103.003	-0.0350781917707185		
355.689	107.542	101.517	104.869	-0.0171204835819018		
356.050	108.320	102.056	103.682	-0.0317934374061112		
356.411	104.340	100.200	108.769	0.0294966034631506		
356.772	106.255	102.056	102.494	-0.0276602597593787		
357.133	110.953	103.253	108.938	-0.0140415811479102		
357.493	112.928	101.786	118.094	0.0349566601320627		
357.854	111.671	101.726	116.568	0.0335005431785127		
358.215	110.414	100.649	126.062	0.116707276617675		
358.576	112.838	98.075	132.335	0.147331625850966		
358.936	107.961	100.051	122.502	0.105788846405472		
359.297	101.377	100.559	123.859	0.150677356503288		
359.658	100.659	98.195	131.148	0.199819935205758		
360.018	103.951	98.644	130.640	0.176132969586573		
360.379	98.115	101.547	132.504	0.210749467126109		
360.739	100.928	101.966	128.097	0.158784802078133		
361.100	100.300	99.452	116.229	0.0947108740335357		
361.461	98.953	99.183	115.042	0.0998387080129682		
361.821	100.031	104.509	112.329	0.0743647495743695		
362.181	103.293	105.856	106.903	0.0221914227131762		
362.542	103.352	107.442	107.412	0.024990704341929		
362.902	108.679	111.721	114.703	0.0372827668686486		
363.263	112.659	112.918	106.734	-0.0373141539417171		
363.623	106.973	108.639	106.734	-0.00148703083723683		
363.983	108.290	105.647	119.959	0.071403372198871		
364.344	108.380	105.198	125.215	0.109841872252854		
364.704	107.392	102.804	124.367	0.118648769352944		
365.064	105.058	104.031	125.384	0.136374963668794		
365.424	109.158	105.916	125.723	0.1197615339946		
365.785	105.148	105.317	118.772	0.0981544482565793		
366.145	103.532	101.337	114.703	0.0805989272880518		
366.505	97.816	101.098	111.143	0.0991015243995614		
366.865	98.714	102.983	117.586	0.141897131202789		
367.225	99.133	102.744	115.890	0.125620236607299		
367.585	96.948	104.839	119.790	0.171059268124993		
367.945	100.031	107.352	117.586	0.124961604367054		
368.305	103.981	111.571	126.401	0.156292174086138		
368.665	102.425	111.871	121.655	0.135954542692915		
369.025	101.198	112.020	118.264	0.116916577804278		
369.385	105.118	111.871	100.290	-0.031014656497925		
369.745	105.088	111.302	107.243	0.0134923784413865		
