t   R1  R2  R3  R4
100.5                    339.8913090077216        331.3824292707006        313.2920779340749        305.9414392206044
102                      340.0181565786327        331.4762838219704        313.31886350435025       305.9542616930525
103.5                    340.13871279845233       331.56528039266595       313.34386811716394       305.96627353989714
105                      340.25297766718046       331.6494189827872        313.3670917725162        305.9774747611383
106.5                    340.36095118481694       331.72869959233407       313.3885344704069        305.987865356776
108                      340.46263335136194       331.8031222213065        313.40819621083614       305.99744532681035
109.5                    340.5580241668155        331.8726868697047        313.4260769938037        306.0062146712411
111                      340.6471236311775        331.9373935375286        313.44217681930985       306.01417339006844
112.5                    340.729931744448         331.99724222477806       313.45649568735433       306.02132148329235
114                      340.8064485066269        332.0522329314532        313.46903359793737       306.0276589509127
115.5                    340.8766739177143        332.10236565755406       313.47979055105884       306.03318579292977
117                      340.9406079777102        332.14764040308046       313.48876654671875       306.03790200934327
118.5                    340.99825068661454       332.1880571680327        313.49596158491715       306.04180760015345
120                      341.0496020444274        332.22361595241046       313.501375665654         306.04490256535996
121.5                    341.09466205114876       332.2543167562139        313.50500878892933       306.0471869049632
123                      341.13343070677854       332.2801595794431        313.5068609547431        306.04866061896286
124.5                    341.16774670187476       332.3025974401653        313.50753589216094       306.04959205368056
126                      341.230885020113         332.34792576491054       313.51795935196503       306.05483750177797
127.5                    341.290760373163         332.3907892792721        313.5275962166183        306.0597142997927
129                      341.34737276102464       332.43118798324974       313.53644648612044       306.06422244772466
130.5                    341.4007221836981        332.4691218768436        313.54451016047176       306.0683619455741
132                      341.4508086411832        332.50459096005363       313.55178723967197       306.07213279334076
133.5                    341.4976321334801        332.5375952328798        313.5582777237213        306.07553499102477
135                      341.5411926605887        332.5681346953222        313.56398161261967       306.07856853862614
136.5                    341.58149022250905       332.59620934738086       313.56889890636694       306.0812334361448
138                      341.61852481924103       332.6218191890556        313.5730296049634        306.0835296835808
139.5                    341.6522964507849        332.64496422034654       313.5763737084088        306.08545728093424
141                      341.6828051171404        332.66564444125373       313.5789312167032        306.08701622820485
142.5                    341.7100508183077        332.68385985177713       313.58070212984654       306.0882065253928
144                      341.73403355428667       332.6996104519166        313.58168644783905       306.08902817249816
145.5                    341.7547533250774        332.71289624167235       313.58188417068055       306.0894811695208
147                      341.77221013067987       332.72371722104435       313.58129529837106       306.0895655164607
148.5                    341.78640397109405       332.73207339003244       313.57991983091057       306.0892812133181
150                      341.7973348463199        332.7379647486367        313.57775776829914       306.0886282600928
151.5                    341.8050027563575        332.7413912968572        313.57480911053665       306.0876066567846
153                      341.80940770120696       332.7423530346939        313.5710738576232        306.0862164033939
154.5                    341.810549680868         332.7408499621468        313.56655200955885       306.0844574999205
156                      341.8084286953408        332.7368820792159        313.56124356634353       306.08232994636455
157.5                    341.8030447446254        332.7304493859011        313.55514852797717       306.0798337427258
159                      341.7943978287216        332.72155188220256       313.54826689445986       306.0769688890043
160.5                    341.8019835218582        332.72530951457446       313.54619383187594       306.0762828039464
162                      341.8146240722053        332.7330532893693        313.5457213619837        306.0763149296727
163.5                    341.82615740039836       332.7400041573037        313.54508098814546       306.0762600887463
165                      341.83658350643736       332.74616211837787       313.54427271036127       306.0761182811671
166.5                    341.84590239032235       332.75152717259203       313.543296528631         306.0758895069352
168                      341.8541140520532        332.75609931994575       313.54215244295483       306.0755737660506
169.5                    341.8612184916301        332.75987856043923       313.54084045333263       306.0751710585133
171                      341.8672157090528        332.7628648940725        313.5393605597646        306.0746813843231
172.5                    341.8721057043215        332.76505832084547       313.53771276225046       306.0741047434803
174                      341.87588847743615       332.76645884075816       313.5358970607904        306.07344113598475
175.5                    341.8785640283968        332.7670664538106        313.5339134553843        306.0726905618364
177                      341.8801323572033        332.7668811600029        313.53176194603236       306.07185302103545
178.5                    341.8805934638558        332.7659029593349        313.5294425327343        306.07092851358163
180                      341.8799473483542        332.7641318518066        313.5269552154904        306.06991703947506
181.5                    341.87819401069856       332.76156783741806       313.5242999943004        306.0688185987159
183                      341.8753334508889        332.7582109161693        313.52147686916453       306.0676331913039
184.5                    341.8713656689251        332.7540610880602        313.5184858400827        306.0663608172391
186                      341.8662906648071        332.7491183530909        313.5153269070547        306.0650014765216
187.5                    341.86010843853524       332.7433827112614        313.51200007008094       306.0635551691515
189                      341.85281899010937       332.73685416257166       313.50850532916115       306.0620218951286
190.5                    341.8444223195294        332.7295327070216        313.50484268429545       306.06040165445296
192                      341.8349184267953        332.7214183446113        313.5010121354837        306.05869444712454
193.5                    341.82430731190715       332.71251107534073       313.497013682726         306.05690027314336
195                      341.81577171328416       332.70544947134147       313.49403240443957       306.0555482613447
196.5                    341.8107914540512        332.70136958769456       313.4924418969601        306.05481393086376
198                      341.8058111948183        332.69728970404753       313.4908513894807        306.0540796003828
199.5                    341.80083093558534       332.6932098204006        313.48926088200125       306.05334526990185
201                      341.7958506763525        332.6891299367537        313.48767037452177       306.05261093942096
202.5                    341.79087041711955       332.6850500531068        313.4860798670423        306.05187660894006
204                      341.7858901578866        332.68097016945984       313.4844893595629        306.0511422784591
205.5                    341.7809098986537        332.6768902858128        313.4828988520834        306.0504079479781
207                      341.77592963942084       332.672810402166         313.48130834460403       306.04967361749726
208.5                    341.7709493801879        332.6687305185191        313.47971783712455       306.0489392870163
210                      341.76596912095505       332.6646506348721        313.4781273296451        306.04820495653536
211.5                    341.7609888617221        332.6605707512251        313.4765368221656        306.04747062605446
213                      341.7560086024892        332.6564908675782        313.4749463146862        306.04673629557345
214.5                    341.7510283432563        332.6524109839313        313.4733558072067        306.0460019650925
216                      341.7460480840234        332.6483311002844        313.4717652997272        306.04526763461166
217.5                    341.7410678247905        332.6442512166373        313.47017479224786       306.0445333041306
219                      341.73608756555757       332.64017133299046       313.46858428476844       306.04379897364976
220.5                    341.73110730632465       332.6360914493435        313.46699377728896       306.0430646431688
222                      341.72612704709184       332.6320115656966        313.4654032698095        306.0423303126879
223.5                    341.72114678785886       332.6279316820497        313.46381276233          306.0415959822069
225                      341.716166528626         332.62385179840277       313.4622222548506        306.040861651726
226.5                    341.711186269393         332.61977191475575       313.4606317473711        306.0401273212451
228                      341.7062060101602        332.61569203110884       313.45904123989175       306.0393929907641
229.5                    341.70157035793505       332.6119015460998        313.4575774205122        306.03871595893503
231                      341.6988572500696        332.60972560086066       313.45682038737453       306.0383585932688
232.5                    341.6961441422042        332.6075496556214        313.45606335423685       306.03800122760265
234                      341.6934310343386        332.6053737103822        313.45530632109916       306.03764386193643
235.5                    341.69071792647327       332.60319776514285       313.45454928796147       306.0372864962702
237                      341.68800481860774       332.6010218199037        313.4537922548237        306.03692913060405
238.5                    341.68529171074226       332.59884587466445       313.45303522168604       306.03657176493783
240                      341.68257860287684       332.5966699294252        313.4522781885484        306.0362143992716
241.5                    341.67986549501137       332.59449398418593       313.4515211554107        306.0358570336054
243                      341.67715238714584       332.5923180389467        313.450764122273         306.03549966793923
244.5                    341.6744392792804        332.59014209370747       313.4500070891353        306.035142302273
246                      341.6717261714149        332.58796614846824       313.4492500559976        306.0347849366068
247.5                    341.6690130635494        332.585790203229         313.44849302285985       306.03442757094064
249                      341.6662999556839        332.5836142579897        313.4477359897221        306.0340702052744
250.5                    341.66358684781846       332.5814383127506        313.44697895658453       306.0337128396082
252                      341.660873739953         332.5792623675113        313.4462219234468        306.033355473942
253.5                    341.6581606320875        332.5770864222721        313.4454648903091        306.0329981082758
255                      341.65544752422204       332.5749104770328        313.44470785717147       306.0326407426096
256.5                    341.6527344163565        332.57273453179357       313.4439508240337        306.03228337694344
258                      341.65002130849103       332.57055858655434       313.443193790896         306.0319260112772
259.5                    341.6473082006256        332.56838264131505       313.44243675775834       306.031568645611
261                      341.6445950927601        332.5662066960759        313.4416797246206        306.03121127994484
262.5                    341.64188198489467       332.56403075083665       313.4409226914829        306.0308539142786
264                      341.63916887702925       332.56185480559736       313.4401656583453        306.0304965486124
265.5                    341.6377269923274        332.56072101305074       313.4398153182402        306.03032708181706
267                      341.63650593042865       332.5597682517231        313.43953562434274       306.03019025473174
268.5                    341.63528486853          332.5588154903954        313.4392559304453        306.0300534276463
270                      341.6340638066313        332.5578627290677        313.4389762365478        306.0299166005609
271.5                    341.6328427447326        332.55690996774          313.4386965426503        306.0297797734755
273                      341.63162168283384       332.5559572064123        313.4384168487528        306.0296429463902
274.5                    341.6304006209352        332.5550044450846        313.4381371548553        306.02950611930476
276                      341.62917955903646       332.5540516837569        313.4378574609579        306.0293692922193
